,element_id,href,label_role,label_string,lang
0,jpcrp030000-asr_e00012-000_accountingpolicyforretirementbenefitstextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_AccountingPolicyForRetirementBenefitsTextBlock,http://www.xbrl.org/2003/role/label,退職給付に係る会計処理の方法,ja
1,jpcrp030000-asr_e00012-000_accountingpolicyforretirementbenefitstextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_AccountingPolicyForRetirementBenefitsTextBlock,http://www.xbrl.org/2003/role/verboseLabel,退職給付に係る会計処理の方法 [テキストブロック],ja
2,jpcrp030000-asr_e00012-000_decreaseincreaseinotherinvestmentsopecf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DecreaseIncreaseInOtherInvestmentsOpeCF,http://www.xbrl.org/2003/role/label,その他の投資増減額（△は増加）,ja
3,jpcrp030000-asr_e00012-000_decreaseincreaseinotherinvestmentsopecf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DecreaseIncreaseInOtherInvestmentsOpeCF,http://www.xbrl.org/2003/role/verboseLabel,その他の投資増減額（△は増加）、営業活動によるキャッシュ・フロー,ja
4,jpcrp030000-asr_e00012-000_decreaseincreaseinotherinvestmentsopecf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DecreaseIncreaseInOtherInvestmentsOpeCF,http://www.xbrl.org/2003/role/documentation,その他の投資増減額（△は増加）、営業活動によるキャッシュ・フロー,ja
5,jpcrp030000-asr_e00012-000_decreaseincreaseinotherreceivablesopecf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DecreaseIncreaseInOtherReceivablesOpeCF,http://www.xbrl.org/2003/role/label,その他の債権の増減額（△は増加）,ja
6,jpcrp030000-asr_e00012-000_decreaseincreaseinotherreceivablesopecf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DecreaseIncreaseInOtherReceivablesOpeCF,http://www.xbrl.org/2003/role/verboseLabel,その他の債権の増減額（△は増加）、営業活動によるキャッシュ・フロー,ja
7,jpcrp030000-asr_e00012-000_decreaseincreaseinotherreceivablesopecf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DecreaseIncreaseInOtherReceivablesOpeCF,http://www.xbrl.org/2003/role/documentation,その他の債権の増減額（△は増加）、営業活動によるキャッシュ・フロー,ja
8,jpcrp030000-asr_e00012-000_decreeasebymergerofsubsidiariesresultinginchangeinscopeofconsolidationinvcf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DecreeaseByMergerOfSubsidiariesResultingInChangeInScopeOfConsolidationInvCF,http://www.xbrl.org/2003/role/label,連結の範囲の変更を伴う子会社合併による減少額,ja
9,jpcrp030000-asr_e00012-000_decreeasebymergerofsubsidiariesresultinginchangeinscopeofconsolidationinvcf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DecreeaseByMergerOfSubsidiariesResultingInChangeInScopeOfConsolidationInvCF,http://www.xbrl.org/2003/role/verboseLabel,連結の範囲の変更を伴う子会社合併による減少、投資活動によるキャッシュ・フロー,ja
